Bill Run Date,Service Id,Customer Id,Site ID,Own By,RCA Category,RCA  Sub Category,ABP Analysis,OSO Analysis - Rebill,Review Comment,Patch Details - All,Next Action,Lession Learnt,Previous ReviewComments
1-Sep-25,SACM_151_2238855 UNI_151_2228921 EVCE_151_2233962 EQP_151_2221264,130404843,OSite_642990_1,OSO,Interface,SNP Callback,NB call came on 09-AUG-25 00:00:00 to cease the SACM_151_2238855 subscriber with the date of 04-DEC-24 17:59:59 NB call came on 09-AUG-25 00:00:00 to cease the UNI_151_2228921 subscriber with the date of 04-DEC-24 17:59:59 NB call came on 0 9-AUG-25 00:00:00 to cease the EVCE_151_2233962 subscriber with the date of 04-D EC-24 17:59:59 NB call came on 09-AUG-25 00:00:00 to cease the EQP_151_2221264 s ubscriber with the date of 04-DEC-24 17:59:59,OSO was waiting for the SNP callback on UNI Interface Turn Down.Please check with SNP if they have any tracking or report for such thing.Also open a SR to work on Automation at OSO side to fetch and share this report biweekly in order to avaoid such cases in future.,"[8/25 Abhishek]: Sonalika/Anargha to check with SNP about this callback and open SR to do automation to catch sunch records in advance and send it to Comcast team to handle it in order not to rebill.

[8/25 Abhishek]: Biswajit to open case.

[8/25 Biswajit]: CAS2878184", , , ,
1-Sep-25,CNCV3977804 SAC3978437 EQP3977806,130696904,OSite_862845_1,OSO,Interface,CLIPS Fallout,NB call came on 01-AUG-25 00:00:00 to activate the CNCV3977804 subscriber with t he date of 16-JAN-25 06:00:00. NB call came on 01-AUG-25 00:00:00 to activate the SAC3978437 subscriber with the date of 16-JAN-25 06:00:00 NB call came on 01-AU G-25 00:00:00 to activate the EQP3977806 subscriber with the date of 16-JAN-25 0 6:00:00,"Interface:- Fallout on ""Create IP Address Range Change"" delayed the NB call here. We couldn'r find SR in our dashboard for date 1st Aug. @Sonalike Team Please help here .And if no SR found We need CLIPS to check for RCA.Error details: An ARM Business error occurred while attempting to proceed service request errorCode : 1 errorMessage : Could not create IP for objectName: 24.153.141.152./30                                   Also Kindly Request user to open SR for fallout sitting for longer time.","[8/25 Abhishek]: Biswajit/Somnath to open ticket and after that, Sonalika/Anargha to reachout to CLIPS team about the RCA and to know about the monitoring such fallouts at their end.

[8/25 Biswajit]: CAS2878423", , , ,
1-Sep-25,SAC2710411 EVCE3556955 UNI3556957 EQP3556956,130382003,OSite_698418_1,OSO,User Education,User task Delay+ Shared Service PTD Set,NB call came on 14-AUG-25 00:0 0:00 to activate the EVCE3556955 subscriber with the date of 27-MAR-25 10:00:58 NB call came on 14-AUG-25 00:00:00 to activate the UNI3556957 subscriber with th e date of 27-MAR-25 10:00:58 NB call came on 14-AUG-25 00:00:00 to activate the EQP3556956 subscriber with the date of 27-MAR-25 10:00:58,"User Education: Here NB call got delayed due to shared dependency where EDI PTD was for starting week of July + User delayed the manual task ""Remove Core Configurations manually"". Sites Access was shared here for ENS and EDI.",[8/25 Abhishek]: Discussed and Approved for Patch, , , ,
1-Sep-25,SDW_411_3770828 EQP_411_3768488,131147453,OSite_879162_1,OSO,User Education,User Pending Task,NB call came on 01-AUG-25 00:00:00 to cease the SDW_411_3770828 subscriber with the date of 07-MAY-25 18:59:59 NB call came on 01-AUG-25 00:00:00 to cease the E QP_411_3768488 subscriber with the date of 07-MAY-25 18:59:59,"User Education:user task delay-""Soft disconnect sd WAN Service"" and then 10 days for mandatory Wait Rule of Registered Timed Action",[8/25 Abhishek]: Discussed and Nothing to Patch, , , ,
15-Aug-25,BVE4485283 EQP4485282,131263688,OSite_969535_1,OSO,Interface,CLIPs Callback,"NB call came on 16-JUL-25 00:00:00 to activate the BVE4485283 subscriber with th e date of 03-JUL-25 09:30:54
NB call came on 16-JUL-25 00:00:00 to activate the EQP4485282 subscriber with the date of 03-JUL-25 09:30:54",Date is correct here. Please open a new SR as his seems to be defect where Commit CLIPS Inventory with TN Design was stuck even though dependency was released.DOC -2 Date arrived flag updated on 14th and hence on 16th it release.,"8/8 Saurabh - Biswa to open new case for OSO
8/8 - Biswajit - CAS2832017
8/12 Prateek: MOved SR for CLIPS team to check RCA with more details
8/12 Anisha: CLIPs RCA awaited on the ticket",,,,
15-Aug-25,EVCE2625596 UNI2625597 SAC2625589 EQP2625595,130396457,OSite_690366_1,OSO,Old Order,Billing Sync Point,"UpdateParameter call came on 16-JUL-25 00:00:00 to update parameters of EVCE2625596 subscriber with the date of 29-MAR-23 00:00:00
UpdateParameter call came on 16-JUL-25 00:00:00 to update parameters of UNI2625597 subscriber with the date of 29-MAR-23 00:00:00
UpdateParameter call came on 16-JUL-25 00:00:00 to update parameters of SAC2625589 subscriber with the date of 29-MAR-23 00:00:00 Update Parameter call came on 16-JUL-25 00:00:00 to update parameters of EQP2625595 subscr iber with the date of 29-MAR-23 00:00:00","""OSO is sending correct date here i.e. 16th July 2025. ABP Team, please check how this date was picked. Request Date : 16-07-2025 20:43:41 GMT
{Action=CREATE, Version=3, SubAction=CH, ProductId=IProductAgreementItemInstance_3038116, BillingDate=2025-07-16T20:43:37Z}
{Action=CREATE, Version=3, SubAction=CH, ProductId=IProductAgreementItemInstance_3038115, BillingDate=2025-07-16T20:43:37Z}""","8/8 Saurabh - Billing team to check how the date came as 2023 because as per OSO corerect date was sent

8/11: There were 2 NB calls on the same day at an interval of 15 mins. First at 16-JUL-25 15:29:57,

8/12: a 2023 EPL order was stuck on sync point that caused the billing to stuck.. old order do not have logs the 2023 date was correct and after that another amend got released for modify that got executed on same day and sent the update NB call for next version

8/12 Anisha: Need to check with SQO, the correct BA here.
8/12 Saurabh - On 16th July, we see old BA 708749845 was moved to newer BA 708730511 with eff date of 29-Mar-2023. Currently from 7/16/25 , all services and customer are under only 1 single BA 708730511.
Either we can remove the rebill request or need to move distribution to older BA if that is still required. We need to confirm with SQO what should be the correct BA

8/14 Saurabh - Remove the Rebill entry
8/14- Patched, removed rebill entry, no financial impact",,,,
15-Aug-25,EQP4557427,131228696,OSite_973106_1, ,Interface,DCP Fallout,NB call came on 17-JUL-25 00:00:00 to activate the EQP4557427 subscriber with th e date of 10-JUL-25 12:54:35,"User Education: NB call delayed here for around 7 days due to DCP fallout on "" cnam Provisioning in Neustar"" and ""Update DA/Dlin Neustar""",8/8 Saurabh - Discussed,,,,
15-Aug-25,EQP4584368,131227723,OSite_957203_1, ,User Education,User Pending Task,NB call came on 17-JUL-25 00:00:00 to activate the EQP4584368 subscriber with th e date of 10-JUL-25 16:11:04,"User Education: Here Notify Billing call has been delayed due to User task delay  ""DOI Call Flow Design GT"" ",8/8 Saurabh - Discussed,,,,
15-Aug-25,BVE4457703 EQP4457704,131189221,OSite_966138_1, ,User Education,User Pending Task,NB call came on 17-JUL-25 00:00:00 to activate the BVE4457703 subscriber with th e date of 30-JUN-25 09:12:30 NB call came on 17-JUL-25 00:00:00 to activate the EQP4457704 subscriber with the date of 30-JUN-25 09:12:30,"User Education: Here Notify Billing call has been delayed due to User task delay  ""DOI Call Flow Design GT"" ",8/8 Saurabh - Discussed,,,,
15-Aug-25,EQP3987924,130979746,OSite_859822_1, ,Interface,DCP Callback,NB call came on 18-JUL-25 00:00:00 to activate the EQP3987924 subscriber with th e date of 08-JUL-25 13:54:55,"Interface : NB call delayed due to no callbacks from DCP on  ""Update DA/Dlin Neustar"".","8/8 Saurabh -  Did eventually callback came or how the order got fulfilled. Once we have this confirmation, possibly we can mark this as discussed
8/12: Someone retried the activity manully , related CAS2757366",,,,
